Year,Total
1,8640.00
2,9331.20
3,10077.70
4,10883.91
5,11754.62
6,12694.99
7,13710.59
8,14807.44
9,15992.04
10,17271.40
11,18653.11
12,20145.36
13,21756.99
14,23497.55
15,25377.35
16,27407.54
17,29600.14
18,31968.16
19,34525.61
20,37287.66
21,40270.67
22,43492.32
23,46971.71
24,50729.45
25,54787.80
26,59170.83
27,63904.49
28,69016.85
29,74538.20
30,80501.26
31,86941.36
32,93896.66
33,101408.40
34,109521.07
35,118282.75
36,127745.37
37,137965.00
38,149002.21
39,160922.38
40,173796.17
41,187699.87
42,202715.85
43,218933.12
44,236447.77
45,255363.60
46,275792.68
47,297856.10
48,321684.59
49,347419.35
50,375212.90
51,405229.93
52,437648.33
53,472660.19
54,510473.01
55,551310.85
56,595415.72
57,643048.97
58,694492.89
59,750052.32
60,810056.51
61,874861.03
62,944849.91
63,1020437.91
64,1102072.94
65,1190238.77
66,1285457.87
67,1388294.50
68,1499358.07
69,1619306.71
70,1748851.25
71,1888759.35
72,2039860.09
73,2203048.90
74,2379292.81
75,2569636.24
76,2775207.14
77,2997223.71
78,3237001.61
79,3495961.74
80,3775638.67
81,4077689.77
82,4403904.95
83,4756217.35
84,5136714.73
85,5547651.91
86,5991464.06
87,6470781.19
88,6988443.69
89,7547519.18
90,8151320.71
91,8803426.37
92,9507700.48
93,10268316.52
94,11089781.84
95,11976964.39
96,12935121.54
97,13969931.26
98,15087525.76
99,16294527.82
100,17598090.05
101,19005937.25
102,20526412.24
103,22168525.21
104,23942007.23
105,25857367.81
106,27925957.23
107,30160033.81
108,32572836.52
109,35178663.44
110,37992956.51
111,41032393.04
112,44314984.48
113,47860183.24
114,51688997.90
115,55824117.73
116,60290047.15
117,65113250.92
118,70322310.99
119,75948095.87
120,82023943.54
121,88585859.02
122,95672727.75
123,103326545.96
124,111592669.64
125,120520083.21
126,130161689.87
127,140574625.06
128,151820595.06
129,163966242.67
130,177083542.08
131,191250225.45
132,206550243.49
133,223074262.97
134,240920204.00
135,260193820.32
136,281009325.95
137,303490072.02
138,327769277.79
139,353990820.01
140,382310085.61
141,412894892.46
142,445926483.86
143,481600602.56
144,520128650.77
145,561738942.83
146,606678058.26
147,655212302.92
148,707629287.15
149,764239630.12
150,825378800.53
151,891409104.57
152,962721832.94
153,1039739579.58
154,1122918745.94
155,1212752245.62
156,1309772425.27
157,1414554219.29
158,1527718556.83
159,1649936041.38
160,1781930924.69
161,1924485398.66
162,2078444230.56
163,2244719769.00
164,2424297350.52
165,2618241138.56
166,2827700429.65
167,3053916464.02
168,3298229781.14
169,3562088163.63
170,3847055216.72
171,4154819634.06
172,4487205204.79
173,4846181621.17
174,5233876150.86
175,5652586242.93
176,6104793142.37
177,6593176593.75
178,7120630721.25
179,7690281178.96
180,8305503673.27
181,8969943967.13
182,9687539484.50
183,10462542643.26
184,11299546054.73
185,12203509739.10
186,13179790518.23
187,14234173759.69
188,15372907660.47
189,16602740273.30
190,17930959495.17
191,19365436254.78
192,20914671155.16
193,22587844847.58
194,24394872435.38
195,26346462230.21
196,28454179208.63
197,30730513545.32
198,33188954628.95
199,35844070999.26
200,38711596679.20
