Year,Total
1,16200.00
2,17496.00
3,18895.68
4,20407.33
5,22039.92
6,23803.11
7,25707.36
8,27763.95
9,29985.07
10,32383.87
11,34974.58
12,37772.55
13,40794.36
14,44057.90
15,47582.54
16,51389.14
17,55500.27
18,59940.29
19,64735.52
20,69914.36
21,75507.51
22,81548.11
23,88071.95
24,95117.71
25,102727.13
26,110945.30
27,119820.92
28,129406.60
29,139759.12
30,150939.85
31,163015.04
32,176056.24
33,190140.74
34,205352.00
35,221780.16
36,239522.58
37,258684.38
38,279379.13
39,301729.47
40,325867.82
41,351937.25
42,380092.23
43,410499.61
44,443339.57
45,478806.74
46,517111.28
47,558480.18
48,603158.60
49,651411.28
50,703524.19
51,759806.12
52,820590.61
53,886237.86
54,957136.89
55,1033707.84
56,1116404.47
57,1205716.83
58,1302174.17
59,1406348.11
60,1518855.96
61,1640364.43
62,1771593.59
63,1913321.07
64,2066386.76
65,2231697.70
66,2410233.52
67,2603052.20
68,2811296.37
69,3036200.08
70,3279096.09
71,3541423.78
72,3824737.68
73,4130716.69
74,4461174.03
75,4818067.95
76,5203513.39
77,5619794.46
78,6069378.01
79,6554928.25
80,7079322.51
81,7645668.32
82,8257321.78
83,8917907.52
84,9631340.12
85,10401847.33
86,11233995.12
87,12132714.73
88,13103331.91
89,14151598.46
90,15283726.34
91,16506424.45
92,17826938.40
93,19253093.47
94,20793340.95
95,22456808.23
96,24253352.89
97,26193621.12
98,28289110.81
99,30552239.67
100,32996418.85
101,35636132.35
102,38487022.94
103,41565984.78
104,44891263.56
105,48482564.64
106,52361169.81
107,56550063.40
108,61074068.47
109,65959993.95
110,71236793.47
111,76935736.94
112,83090595.90
113,89737843.57
114,96916871.06
115,104670220.74
116,113043838.40
117,122087345.47
118,131854333.11
119,142402679.76
120,153794894.14
121,166098485.67
122,179386364.52
123,193737273.68
124,209236255.58
125,225975156.02
126,244053168.51
127,263577421.99
128,284663615.75
129,307436705.01
130,332031641.41
131,358594172.72
132,387281706.54
133,418264243.06
134,451725382.50
135,487863413.10
136,526892486.15
137,569043885.05
138,614567395.85
139,663732787.52
140,716831410.52
141,774177923.36
142,836112157.23
143,903001129.81
144,975241220.19
145,1053260517.81
146,1137521359.23
147,1228523067.97
148,1326804913.41
149,1432949306.48
150,1547585251.00
151,1671392071.08
152,1805103436.76
153,1949511711.71
154,2105472648.64
155,2273910460.53
156,2455823297.38
157,2652289161.17
158,2864472294.06
159,3093630077.58
160,3341120483.79
161,3608410122.49
162,3897082932.29
163,4208849566.88
164,4545557532.23
165,4909202134.80
166,5301938305.59
167,5726093370.04
168,6184180839.64
169,6678915306.81
170,7213228531.36
171,7790286813.86
172,8413509758.97
173,9086590539.69
174,9813517782.87
175,10598599205.50
176,11446487141.93
177,12362206113.29
178,13351182602.35
179,14419277210.54
180,15572819387.38
181,16818644938.38
182,18164136533.45
183,19617267456.12
184,21186648852.61
185,22881580760.82
186,24712107221.68
187,26689075799.42
188,28824201863.37
189,31130138012.44
190,33620549053.44
191,36310192977.71
192,39215008415.93
193,42352209089.20
194,45740385816.34
195,49399616681.65
196,53351586016.18
197,57619712897.47
198,62229289929.27
199,67207633123.61
200,72584243773.50
