Year,Total
1,5400.00
2,5832.00
3,6298.56
4,6802.44
5,7346.64
6,7934.37
7,8569.12
8,9254.65
9,9995.02
10,10794.62
11,11658.19
12,12590.85
13,13598.12
14,14685.97
15,15860.85
16,17129.71
17,18500.09
18,19980.10
19,21578.51
20,23304.79
21,25169.17
22,27182.70
23,29357.32
24,31705.90
25,34242.38
26,36981.77
27,39940.31
28,43135.53
29,46586.37
30,50313.28
31,54338.35
32,58685.41
33,63380.25
34,68450.67
35,73926.72
36,79840.86
37,86228.13
38,93126.38
39,100576.49
40,108622.61
41,117312.42
42,126697.41
43,136833.20
44,147779.86
45,159602.25
46,172370.43
47,186160.06
48,201052.87
49,217137.09
50,234508.06
51,253268.71
52,273530.20
53,295412.62
54,319045.63
55,344569.28
56,372134.82
57,401905.61
58,434058.06
59,468782.70
60,506285.32
61,546788.14
62,590531.20
63,637773.69
64,688795.59
65,743899.23
66,803411.17
67,867684.07
68,937098.79
69,1012066.69
70,1093032.03
71,1180474.59
72,1274912.56
73,1376905.56
74,1487058.01
75,1606022.65
76,1734504.46
77,1873264.82
78,2023126.00
79,2184976.08
80,2359774.17
81,2548556.11
82,2752440.59
83,2972635.84
84,3210446.71
85,3467282.44
86,3744665.04
87,4044238.24
88,4367777.30
89,4717199.49
90,5094575.45
91,5502141.48
92,5942312.80
93,6417697.82
94,6931113.65
95,7485602.74
96,8084450.96
97,8731207.04
98,9429703.60
99,10184079.89
100,10998806.28
101,11878710.78
102,12829007.65
103,13855328.26
104,14963754.52
105,16160854.88
106,17453723.27
107,18850021.13
108,20358022.82
109,21986664.65
110,23745597.82
111,25645245.65
112,27696865.30
113,29912614.52
114,32305623.69
115,34890073.58
116,37681279.47
117,40695781.82
118,43951444.37
119,47467559.92
120,51264964.71
121,55366161.89
122,59795454.84
123,64579091.23
124,69745418.53
125,75325052.01
126,81351056.17
127,87859140.66
128,94887871.92
129,102478901.67
130,110677213.80
131,119531390.91
132,129093902.18
133,139421414.35
134,150575127.50
135,162621137.70
136,175630828.72
137,189681295.02
138,204855798.62
139,221244262.51
140,238943803.51
141,258059307.79
142,278704052.41
143,301000376.60
144,325080406.73
145,351086839.27
146,379173786.41
147,409507689.32
148,442268304.47
149,477649768.83
150,515861750.33
151,557130690.36
152,601701145.59
153,649837237.24
154,701824216.21
155,757970153.51
156,818607765.79
157,884096387.06
158,954824098.02
159,1031210025.86
160,1113706827.93
161,1202803374.16
162,1299027644.10
163,1402949855.63
164,1515185844.08
165,1636400711.60
166,1767312768.53
167,1908697790.01
168,2061393613.21
169,2226305102.27
170,2404409510.45
171,2596762271.29
172,2804503252.99
173,3028863513.23
174,3271172594.29
175,3532866401.83
176,3815495713.98
177,4120735371.10
178,4450394200.78
179,4806425736.85
180,5190939795.79
181,5606214979.46
182,6054712177.82
183,6539089152.04
184,7062216284.20
185,7627193586.94
186,8237369073.89
187,8896358599.81
188,9608067287.79
189,10376712670.81
190,11206849684.48
191,12103397659.24
192,13071669471.98
193,14117403029.73
194,15246795272.11
195,16466538893.88
196,17783862005.39
197,19206570965.82
198,20743096643.09
199,22402544374.54
200,24194747924.50
