Year,Total
1,21600.00
2,23328.00
3,25194.24
4,27209.78
5,29386.56
6,31737.49
7,34276.49
8,37018.60
9,39980.09
10,43178.50
11,46632.78
12,50363.40
13,54392.47
14,58743.87
15,63443.38
16,68518.85
17,74000.36
18,79920.39
19,86314.02
20,93219.14
21,100676.67
22,108730.81
23,117429.27
24,126823.61
25,136969.50
26,147927.06
27,159761.23
28,172542.13
29,186345.50
30,201253.14
31,217353.39
32,234741.66
33,253520.99
34,273802.67
35,295706.89
36,319363.44
37,344912.51
38,372505.51
39,402305.95
40,434490.43
41,469249.66
42,506789.64
43,547332.81
44,591119.43
45,638408.99
46,689481.71
47,744640.24
48,804211.46
49,868548.38
50,938032.25
51,1013074.83
52,1094120.82
53,1181650.48
54,1276182.52
55,1378277.12
56,1488539.29
57,1607622.44
58,1736232.23
59,1875130.81
60,2025141.27
61,2187152.58
62,2362124.78
63,2551094.76
64,2755182.34
65,2975596.93
66,3213644.69
67,3470736.26
68,3748395.16
69,4048266.78
70,4372128.12
71,4721898.37
72,5099650.24
73,5507622.26
74,5948232.04
75,6424090.60
76,6938017.85
77,7493059.27
78,8092504.02
79,8739904.34
80,9439096.69
81,10194224.42
82,11009762.37
83,11890543.36
84,12841786.83
85,13869129.78
86,14978660.16
87,16176952.97
88,17471109.21
89,18868797.95
90,20378301.79
91,22008565.93
92,23769251.20
93,25670791.30
94,27724454.60
95,29942410.97
96,32337803.85
97,34924828.16
98,37718814.41
99,40736319.56
100,43995225.13
101,47514843.14
102,51316030.59
103,55421313.03
104,59855018.08
105,64643419.52
106,69814893.09
107,75400084.53
108,81432091.30
109,87946658.60
110,94982391.29
111,102580982.59
112,110787461.20
113,119650458.09
114,129222494.74
115,139560294.32
116,150725117.87
117,162783127.29
118,175805777.48
119,189870239.68
120,205059858.85
121,221464647.56
122,239181819.36
123,258316364.91
124,278981674.10
125,301300208.03
126,325404224.68
127,351436562.65
128,379551487.66
129,409915606.67
130,442708855.21
131,478125563.63
132,516375608.72
133,557685657.41
134,602300510.01
135,650484550.81
136,702523314.87
137,758725180.06
138,819423194.47
139,884977050.02
140,955775214.02
141,1032237231.15
142,1114816209.64
143,1204001506.41
144,1300321626.92
145,1404347357.08
146,1516695145.64
147,1638030757.29
148,1769073217.88
149,1910599075.31
150,2063447001.33
151,2228522761.44
152,2406804582.35
153,2599348948.94
154,2807296864.86
155,3031880614.04
156,3274431063.17
157,3536385548.22
158,3819296392.08
159,4124840103.44
160,4454827311.72
161,4811213496.66
162,5196110576.39
163,5611799422.50
164,6060743376.30
165,6545602846.41
166,7069251074.12
167,7634791160.05
168,8245574452.85
169,8905220409.08
170,9617638041.81
171,10387049085.15
172,11218013011.96
173,12115454052.92
174,13084690377.15
175,14131465607.33
176,15261982855.91
177,16482941484.39
178,17801576803.14
179,19225702947.39
180,20763759183.18
181,22424859917.83
182,24218848711.26
183,26156356608.16
184,28248865136.81
185,30508774347.76
186,32949476295.58
187,35585434399.23
188,38432269151.16
189,41506850683.26
190,44827398737.92
191,48413590636.95
192,52286677887.91
193,56469612118.94
194,60987181088.45
195,65866155575.53
196,71135448021.57
197,76826283863.30
198,82972386572.36
199,89610177498.15
200,96778991698.01
