Year,Total
1,32400.00
2,34992.00
3,37791.36
4,40814.67
5,44079.84
6,47606.23
7,51414.73
8,55527.91
9,59970.14
10,64767.75
11,69949.17
12,75545.10
13,81588.71
14,88115.81
15,95165.07
16,102778.28
17,111000.54
18,119880.58
19,129471.03
20,139828.71
21,151015.01
22,163096.21
23,176143.91
24,190235.42
25,205454.26
26,221890.60
27,239641.84
28,258813.19
29,279518.25
30,301879.71
31,326030.08
32,352112.49
33,380281.49
34,410704.01
35,443560.33
36,479045.16
37,517368.77
38,558758.27
39,603458.93
40,651735.64
41,703874.50
42,760184.46
43,820999.21
44,886679.15
45,957613.48
46,1034222.56
47,1116960.37
48,1206317.19
49,1302822.57
50,1407048.38
51,1519612.25
52,1641181.23
53,1772475.72
54,1914273.78
55,2067415.68
56,2232808.94
57,2411433.65
58,2604348.35
59,2812696.21
60,3037711.91
61,3280728.86
62,3543187.17
63,3826642.15
64,4132773.52
65,4463395.40
66,4820467.03
67,5206104.39
68,5622592.74
69,6072400.16
70,6558192.18
71,7082847.55
72,7649475.36
73,8261433.38
74,8922348.05
75,9636135.90
76,10407026.77
77,11239588.91
78,12138756.03
79,13109856.51
80,14158645.03
81,15291336.63
82,16514643.56
83,17835815.05
84,19262680.25
85,20803694.67
86,22467990.24
87,24265429.46
88,26206663.82
89,28303196.92
90,30567452.68
91,33012848.89
92,35653876.80
93,38506186.95
94,41586681.90
95,44913616.46
96,48506705.77
97,52387242.23
98,56578221.61
99,61104479.34
100,65992837.69
101,71272264.71
102,76974045.88
103,83131969.55
104,89782527.12
105,96965129.29
106,104722339.63
107,113100126.80
108,122148136.94
109,131919987.90
110,142473586.93
111,153871473.88
112,166181191.80
113,179475687.14
114,193833742.11
115,209340441.48
116,226087676.80
117,244174690.94
118,263708666.22
119,284805359.51
120,307589788.28
121,332196971.34
122,358772729.04
123,387474547.37
124,418472511.16
125,451950312.05
126,488106337.01
127,527154843.97
128,569327231.49
129,614873410.01
130,664063282.81
131,717188345.44
132,774563413.07
133,836528486.12
134,903450765.01
135,975726826.21
136,1053784972.31
137,1138087770.09
138,1229134791.70
139,1327465575.03
140,1433662821.04
141,1548355846.72
142,1672224314.46
143,1806002259.61
144,1950482440.38
145,2106521035.61
146,2275042718.46
147,2457046135.94
148,2653609826.81
149,2865898612.96
150,3095170502.00
151,3342784142.16
152,3610206873.53
153,3899023423.41
154,4210945297.28
155,4547820921.07
156,4911646594.75
157,5304578322.33
158,5728944588.12
159,6187260155.17
160,6682240967.58
161,7216820244.99
162,7794165864.59
163,8417699133.75
164,9091115064.45
165,9818404269.61
166,10603876611.18
167,11452186740.07
168,12368361679.28
169,13357830613.62
170,14426457062.71
171,15580573627.73
172,16827019517.95
173,18173181079.38
174,19627035565.73
175,21197198410.99
176,22892974283.87
177,24724412226.58
178,26702365204.71
179,28838554421.08
180,31145638774.77
181,33637289876.75
182,36328273066.89
183,39234534912.24
184,42373297705.22
185,45763161521.64
186,49424214443.37
187,53378151598.84
188,57648403726.75
189,62260276024.89
190,67241098106.88
191,72620385955.43
192,78430016831.86
193,84704418178.41
194,91480771632.68
195,98799233363.30
196,106703172032.36
197,115239425794.95
198,124458579858.55
199,134415266247.23
200,145168487547.01
